# SAXS profile: number of points = 355, q_min = 0.0332286, q_max = 0.386938, delta_q = 0.000999179096045198
# offset = 0.00000000000000, scaling c = 3.82367662468004e-06, Chi = 3.88399746533328
#  q       exp_intensity   model_intensity
0.28702    0.20644700      0.27174333     
0.28802    0.19692100      0.26797066     
0.28902    0.18558300      0.26423082     
0.29002    0.18660000      0.26052276     
0.29102    0.20141200      0.25685152     
0.29202    0.19919100      0.25321211     
0.29302    0.18021500      0.24960768     
0.29402    0.19440900      0.24603149     
0.29501    0.19421800      0.24249966     
0.29601    0.21418200      0.23900171     
0.29701    0.22021400      0.23553987     
0.29801    0.19200900      0.23211914     
0.29901    0.19429100      0.22873596     
0.30001    0.20353600      0.22538825     
0.30101    0.19888400      0.22208464     
0.30201    0.21289700      0.21881864     
0.30301    0.17816600      0.21559809     
0.30401    0.18373900      0.21241852     
0.30501    0.19672700      0.20927945     
0.30601    0.19870900      0.20617908     
0.30700    0.19790600      0.20312968     
0.30800    0.17549300      0.20011955     
0.30900    0.15481700      0.19715785     
0.31000    0.17160200      0.19423948     
0.31100    0.16284900      0.19136434     
0.31200    0.14685300      0.18853592     
0.31300    0.16835400      0.18575482     
0.31400    0.18260700      0.18302172     
0.31500    0.18867300      0.18033256     
0.31600    0.17953100      0.17769288     
0.31700    0.19083900      0.17509792     
0.31800    0.18366100      0.17255137     
0.31899    0.18126900      0.17005588     
0.31999    0.16044800      0.16760663     
0.32099    0.15711700      0.16520450     
0.32199    0.18212300      0.16285119     
0.32299    0.17764000      0.16054364     
0.32399    0.17461100      0.15828732     
0.32499    0.15549400      0.15607942     
0.32599    0.15334700      0.15391898     
0.32699    0.18748600      0.15180692     
0.32799    0.18822000      0.14974406     
0.32899    0.15933000      0.14772730     
0.32998    0.18490000      0.14576194     
0.33098    0.19345800      0.14383951     
0.33198    0.19189900      0.14197099     
0.33298    0.17839900      0.14014482     
0.33398    0.18666500      0.13836876     
0.33498    0.17870000      0.13663887     
0.33598    0.14278500      0.13495587     
0.33698    0.14276500      0.13331712     
0.33798    0.14801900      0.13172892     
0.33898    0.17191300      0.13018062     
0.33998    0.16402700      0.12868054     
0.34098    0.18207700      0.12722587     
0.34197    0.16766400      0.12581833     
0.34297    0.17000200      0.12445064     
0.34397    0.18768500      0.12313106     
0.34497    0.17119400      0.12185179     
0.34597    0.15330800      0.12061799     
0.34697    0.16902100      0.11942284     
0.34797    0.20569500      0.11827219     
0.34897    0.19447700      0.11716304     
0.34997    0.18938800      0.11609299     
0.35097    0.20155400      0.11506663     
0.35197    0.19166300      0.11407521     
0.35297    0.17606700      0.11312533     
0.35396    0.18059100      0.11221344     
0.35496    0.17176100      0.11134251     
0.35596    0.17807300      0.11050415     
0.35696    0.16608400      0.10970492     
0.35796    0.13036700      0.10894256     
0.35896    0.09874280      0.10821570     
0.35996    0.14823100      0.10752489     
0.36096    0.20271400      0.10686630     
0.36196    0.21956900      0.10624424     
0.36296    0.19113900      0.10565253     
0.36396    0.15972300      0.10509304     
0.36496    0.12237600      0.10456495     
0.36595    0.15225900      0.10407061     
0.36695    0.16868900      0.10360413     
0.36795    0.16223100      0.10317147     
0.36895    0.14955200      0.10276721     
0.36995    0.15761600      0.10238696     
0.37095    0.15492600      0.10203565     
0.37195    0.20082100      0.10171409     
0.37295    0.22991200      0.10141752     
0.37395    0.19123400      0.10114755     
0.37495    0.14579600      0.10090291     
0.37595    0.10435400      0.10068378     
0.37695    0.09331420      0.10048603     
0.37795    0.05294150      0.10031329     
0.37894    0.13145900      0.10016407     
0.37994    0.12686500      0.10003472     
0.38094    0.09573540      0.09992646     
0.38194    0.11283900      0.09983884     
0.38294    0.15757800      0.09977044     
0.38394    0.20318200      0.09972396     
0.38494    0.16212900      0.09969204     
0.38594    0.13201300      0.09968273     
0.38694    0.12052300      0.09968630     
